TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
4413796.0,1083.626754,1.0,6.19,1.62,-7.75,-27.37,-20.75,24.06,1.25,1.63,-2.25,0.0133176599870114,0.05764113239426405,-0.2432007521151203,-137.21387841569043,16.223006993376618,-36.09435595913239,-0.1309,-0.9311,0.1411,-0.3098
4413829.0,1083.683028,1.0,5.74,1.92,-7.76,-27.06,-20.75,25.0,2.0,2.63,-9.75,-0.4301797367177517,0.23133770783609964,-0.0225426555058732,-137.339715842895,15.945255673236543,-36.09435595913239,-0.1313,-0.9315,0.1387,-0.3098
4413863.0,1083.701736,1.0,5.82,1.69,-7.53,-27.75,-20.75,24.06,12.06,10.88,-5.69,-0.21434221318236496,0.11109770324225576,0.14377699472965233,-137.24530467426428,15.505674829864251,-36.44404119171296,-0.1295,-0.9312,0.1349,-0.3127
4413900.0,1083.7482539999999,1.0,5.35,1.79,-7.34,-28.56,-20.75,25.37,15.88,18.37,-15.63,-0.5594023256092538,0.1869805631162731,0.5679105130829836,-137.1824741414482,14.985414779298193,-36.87862290728264,-0.1277,-0.9309999999999999,0.1304,-0.3163
4413935.0,1083.810383,1.0,4.73,2.02,-7.04,-28.56,-20.75,25.37,24.31,49.63,-30.12,-1.1422320907164198,0.35826369454742113,1.1705714352747574,-136.311888173766,13.553381828311744,-38.51327351873995,-0.1254,-0.9282,0.11800000000000001,-0.3298
4413972.0,1083.819043,1.0,6.58,2.06,-6.94,-27.37,-21.19,25.0,56.19,113.37,-23.69,-0.10997500481722802,0.620606987122631,0.04415275463034797,-134.47008902668762,12.042810329741009,-41.280605467484456,-0.1201,-0.9221,0.1049,-0.3525
4414009.0,1083.8820460000004,1.0,7.74,1.41,-7.24,-28.87,-20.75,22.5,56.19,101.81,-24.94,-0.03754700838905649,0.03329545093628738,-0.8849720301275159,-131.2878239276356,10.166142467644526,-45.66022134435174,-0.10800000000000001,-0.9109999999999999,0.0886,-0.38799999999999996
4414044.0,1083.905418,1.0,7.81,1.41,-6.57,-28.87,-20.75,22.5,43.19,91.56,-37.69,0.04008714774420867,0.13466864975385895,-0.4952603750401163,-129.27076347961943,8.430081473298436,-48.3342986251064,-0.1025,-0.9036,0.0735,-0.4094
4414078.0,1083.908624,1.0,7.55,1.08,-6.07,-30.06,-21.19,21.69,53.81,75.37,-28.62,-0.17204044228985424,-0.12629370300010825,0.06148442999560011,-126.91419440082724,6.282764679968377,-51.37976979085595,-0.0938,-0.8946,0.0548,-0.4335
4414113.0,1083.958372,1.0,7.67,0.72,-5.43,-31.87,-20.37,20.0,53.25,87.44,-35.0,0.08306775744033602,-0.3536885707632366,0.3885714198125694,-124.94770072590693,4.779853967883568,-53.75699560652143,-0.0859,-0.8868,0.0417,-0.4521
4414150.0,1084.006692,1.0,9.3,0.7,-5.76,-33.38,-20.25,18.75,56.56,76.0,-33.0,0.1837001604873347,-0.5594774475288372,-1.1391637768163925,-122.08995125628029,2.509755787270372,-57.01841747060314,-0.0784,-0.875,0.0219,-0.4773
4414185.0,1084.023727,1.0,7.94,1.39,-4.79,-33.38,-20.25,18.75,40.81,32.63,-31.62,-0.029611851477434656,0.278280265938052,0.4342712607555424,-120.80117633509359,0.4812859628976946,-58.52347906562028,-0.0706,-0.8695,0.0042,-0.4888
4414222.0,1084.065564,1.0,8.76,0.08,-4.93,-33.69,-20.69,18.0,51.0,65.12,-48.19,0.09745961936166883,-1.1937873836075603,-0.1740450311756021,-119.35560000731121,-1.5126525087430307,-60.06617050138386,-0.0659,-0.8632,-0.0132,-0.5005
